# source_url=https://www.sen.go.kr/www/website.jsp
# source_as_of=2026-08-10
# source_sha256=69863ac78689fb4b6e9941aabea03c3c1d618ccb26568e844079afd9092eb2c2
# normalized_sha256=c2b7e84c476175586b9f3764f54ee008fc35cb7831b4a8a0186ded9b608aac50
# directory_source_raw_sha256=9f202202edc653b09b4debb5a0ff939cf9fcdc64dd58174b28f8d009bb1b7424
# main_site_source_url=https://gslib.sen.go.kr/gslib/html.do?menu_idx=52
# main_site_source_raw_sha256=312ca8f63086188dabcb272ed3a2bfdfdb0d2c360f010cdc1fb59e6ff90288e7
# branch_site_source_url=https://gylib.sen.go.kr/gylib/html.do?menu_idx=43
# branch_site_source_raw_sha256=b3036767d04ef37b77d72c617ca21b052b83682eeab6f19ecb15a8a0aa54dd49
# site_sources_checked_at=2026-08-11
# license_name=KOGL_TYPE_1_ATTRIBUTION
# attribution=Source: Seoul Metropolitan Office of Education (organization directory and 2026 civil-service handbook)
institution_id,official_name,institution_type,foundation_type,education_office,road_address,district,latitude,longitude,site_code,site_name,is_default
sen:lifelong-yeongdeungpo,\uc601\ub4f1\ud3ec\ud3c9\uc0dd\ud559\uc2b5\uad00,LIFELONG_LEARNING_CENTER,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc601\ub4f1\ud3ec\uad6c \ubc84\ub4dc\ub098\ub8e8\ub85c15\uae38 10,\uc601\ub4f1\ud3ec\uad6c,,,main,\ubcf8\uad00,true
sen:lifelong-mapo,\ub9c8\ud3ec\ud3c9\uc0dd\ud559\uc2b5\uad00,LIFELONG_LEARNING_CENTER,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub9c8\ud3ec\uad6c \ud64d\uc775\ub85c2\uae38 16,\ub9c8\ud3ec\uad6c,,,main,\ubcf8\uad00,true
sen:library-gangnam,\uac15\ub0a8\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\ub0a8\uad6c \uc120\ub989\ub85c116\uae38 45,\uac15\ub0a8\uad6c,,,main,\ubcf8\uad00,true
sen:library-gangdong,\uac15\ub3d9\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\ub3d9\uad6c \uc591\uc7ac\ub300\ub85c116\uae38 57,\uac15\ub3d9\uad6c,,,main,\ubcf8\uad00,true
sen:gangseo-library,\uac15\uc11c\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\uc11c\uad6c \ub4f1\ucd0c\ub85c51\ub098\uae38 29,\uac15\uc11c\uad6c,,,main,\ubcf8\uad00,true
sen:gangseo-library,\uac15\uc11c\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\uc11c\uad6c \uc591\ucc9c\ub85c55\uae38 46,\uac15\uc11c\uad6c,,,gayang,\uac00\uc591\uad00,false
sen:library-gaepo,\uac1c\ud3ec\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uac15\ub0a8\uad6c \uc120\ub989\ub85c4\uae38 30,\uac15\ub0a8\uad6c,,,main,\ubcf8\uad00,true
sen:library-gocheok,\uace0\ucc99\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uad6c\ub85c\uad6c \uace0\ucc99\ub85c45\uae38 31,\uad6c\ub85c\uad6c,,,main,\ubcf8\uad00,true
sen:library-guro,\uad6c\ub85c\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uad6c\ub85c\uad6c \uacf5\uc6d0\ub85c 15,\uad6c\ub85c\uad6c,,,main,\ubcf8\uad00,true
sen:library-namsan,\ub0a8\uc0b0\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc6a9\uc0b0\uad6c \uc18c\uc6d4\ub85c 109,\uc6a9\uc0b0\uad6c,,,main,\ubcf8\uad00,true
sen:library-dobong,\ub3c4\ubd09\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub3c4\ubd09\uad6c \uc0bc\uc591\ub85c 556,\ub3c4\ubd09\uad6c,,,main,\ubcf8\uad00,true
sen:library-dongdaemun,\ub3d9\ub300\ubb38\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub3d9\ub300\ubb38\uad6c \ucc9c\ud638\ub300\ub85c4\uae38 22,\ub3d9\ub300\ubb38\uad6c,,,main,\ubcf8\uad00,true
sen:library-dongjak,\ub3d9\uc791\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \ub3d9\uc791\uad6c \uc7a5\uc2b9\ubc30\uae30\ub85c 94,\ub3d9\uc791\uad6c,,,main,\ubcf8\uad00,true
sen:library-seodaemun,\uc11c\ub300\ubb38\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc11c\ub300\ubb38\uad6c \ubaa8\ub798\ub0b4\ub85c 412,\uc11c\ub300\ubb38\uad6c,,,main,\ubcf8\uad00,true
sen:library-children,\uc5b4\ub9b0\uc774\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc885\ub85c\uad6c \uc0ac\uc9c1\ub85c9\uae38 7,\uc885\ub85c\uad6c,,,main,\ubcf8\uad00,true
sen:library-songpa,\uc1a1\ud30c\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc1a1\ud30c\uad6c \ub3d9\ub0a8\ub85c 263,\uc1a1\ud30c\uad6c,,,main,\ubcf8\uad00,true
sen:library-yangcheon,\uc591\ucc9c\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc591\ucc9c\uad6c \ubaa9\ub3d9\uc11c\ub85c 113,\uc591\ucc9c\uad6c,,,main,\ubcf8\uad00,true
sen:library-yongsan,\uc6a9\uc0b0\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc6a9\uc0b0\uad6c \ub450\ud141\ubc14\uc704\ub85c 160,\uc6a9\uc0b0\uad6c,,,main,\ubcf8\uad00,true
sen:library-jeongdok,\uc815\ub3c5\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc885\ub85c\uad6c \ubd81\ucd0c\ub85c5\uae38 48,\uc885\ub85c\uad6c,,,main,\ubcf8\uad00,true
sen:library-jongno,\uc885\ub85c\ub3c4\uc11c\uad00,LIBRARY,PUBLIC,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc\uad50\uc721\uccad,\uc11c\uc6b8\ud2b9\ubcc4\uc2dc \uc885\ub85c\uad6c \uc0ac\uc9c1\ub85c9\uae38 15-14,\uc885\ub85c\uad6c,,,main,\ubcf8\uad00,true
